pause_sec,log_pause,rms_before,rms_after,rms_ratio,energy_slope,rate_before,rate_after,rate_delta,last_segment_dur,segment_dur_ratio,vowel_energy_ratio,word_dur_ratio,n_segments,segment_variability,spectral_flux,pitch_mean,pitch_drop,voiced_fraction,y,source
0.0,-4.60517,0.161567,0.241336,0.669465,-0.00988285,2.5,10.0,7.5,0.01,0.0714286,1.73447,0.0714286,2,0.183848,0.0339415,193.596,-8.18936,0.842105,0,dudh
0.12,-2.04022,0.199649,0.292223,0.683204,-0.0195425,2.5,5.0,2.5,0.26,1.0,1.58037,1.0,1,0.0,0.0229227,165.17,-0.933578,0.842105,1,dudh
0.0,-4.60517,0.231315,0.282987,0.817403,0.0237892,2.5,0.0,-2.5,0.11,0.758621,1.48934,0.758621,2,0.0494975,0.0236185,143.297,83.3055,0.631579,0,dudh
0.0,-4.60517,0.288709,0.0983716,2.93485,-0.0102093,2.5,2.5,0.0,0.01,1.0,1.0,1.0,1,0.0,0.037149,131.863,2.16104,1.0,0,dudh
0.0,-4.60517,0.113842,0.237795,0.478738,0.0108531,2.5,0.0,-2.5,0.05,0.384615,1.72772,0.384615,2,0.113137,0.019188,0.0,0.0,0.0,0,dudh
0.0,-4.60517,0.227719,0.145475,1.56533,-0.00445201,2.5,5.0,2.5,0.28,1.0,1.20479,1.0,1,0.0,0.0156326,90.4494,-0.676933,0.473684,0,dudh
0.0,-4.60517,0.183806,0.110706,1.6603,0.00393784,2.5,5.0,2.5,0.01,1.0,1.0,1.0,1,0.0,0.0239222,92.7829,0.316345,0.473684,0,dudh
0.0,-4.60517,0.12104,0.156327,0.774268,-0.00168321,7.5,2.5,-5.0,0.05,0.8,1.56702,0.8,4,0.0340343,0.0298238,86.8285,0.0,0.157895,0,dudh
0.0,-4.60517,0.0216582,0.311254,0.0695835,0.00143172,2.5,0.0,-2.5,0.03,0.333333,1.51351,0.333333,2,0.0848528,0.00528148,0.0,0.0,0.0,0,dudh
0.23,-1.42712,0.035601,0.282381,0.126074,-0.00310265,0.0,5.0,5.0,0.22,1.0,1.68231,1.0,1,0.0,0.00405361,158.416,0.0,0.0526316,1,dudh
0.03,-3.21888,0.21888,0.309501,0.7072,-0.0134593,2.5,2.5,0.0,0.29,1.0,2.25995,1.0,1,0.0,0.023102,167.404,-2.94786,0.947368,0,dudh
0.0,-4.60517,0.279001,0.163297,1.70854,-0.00222316,2.5,2.5,0.0,0.27,1.0,1.50506,1.0,1,0.0,0.0458193,146.639,-9.22285,0.947368,0,dudh
0.0,-4.60517,0.306843,0.255327,1.20176,-0.00389386,2.5,5.0,2.5,0.22,1.69231,1.62338,1.69231,2,0.127279,0.0310924,149.573,23.6425,0.947368,0,dudh
